6458,6468 # Farallon to Fort Funston, SF.  They are part of SF.
7986,7885 # San Nicolas to Naval Base Ventura County, of which it is a detachment.
6840,6910 # Santa Rosa, Santa Cruz, and San Miguel to SB Port.
3090,3107 # Avalon, Santa Catalina to LA Port.
