nid,nseq,eid,x,y,epsg
122216,3,178505,783.823688472594,69.0113652916146,3364
122217,1,178506,783.00897836713,70.2864818159284,3364
122217,2,178505,783.00897836713,70.2864818159284,3364
122217,3,178504,783.00897836713,70.2864818159284,3364
122218,1,178507,783.521371006453,70.6031381909267,3364
122218,2,178506,783.521371006453,70.6031381909267,3364
122218,3,180754,783.521371006453,70.6031381909267,3364
122219,1,176754,763.855134344276,56.4685456759778,3364
122219,2,178508,763.855134344276,56.4685456759778,3364
122220,1,181250,763.455141670313,52.36412831518,3364
122220,2,178510,763.455141670313,52.36412831518,3364
122220,3,178509,763.455141670313,52.36412831518,3364
122221,1,178512,756.63368788381,49.6602372623085,3364
122221,2,182292,756.63368788381,49.6602372623085,3364
122222,1,178206,757.97406620789,53.1217878422593,3364
122222,2,178512,757.97406620789,53.1217878422593,3364
122222,3,182307,757.97406620789,53.1217878422593,3364
122222,4,178511,757.97406620789,53.1217878422593,3364
122223,1,182867,464.391676269934,198.159643501226,3364
122223,2,178514,464.391676269934,198.159643501226,3364
122224,1,178513,477.246341670365,197.003739644337,3364
122224,2,178515,477.246341670365,197.003739644337,3364
122224,3,182343,477.246341670365,197.003739644337,3364
122225,1,174551,476.822011092083,191.696165596432,3364
122225,2,178516,476.822011092083,191.696165596432,3364
122225,3,178515,476.822011092083,191.696165596432,3364
122226,1,178519,514.366632005856,197.955558754924,3364
122226,2,178518,514.366632005856,197.955558754924,3364
122226,3,178517,514.366632005856,197.955558754924,3364
122227,1,182383,511.428843805982,198.636801036577,3364
122227,2,178520,511.428843805982,198.636801036577,3364
122228,1,180906,515.386169065215,200.607237229828,3364
122228,2,178519,515.386169065215,200.607237229828,3364
122228,3,175044,515.386169065215,200.607237229828,3364
122229,1,178522,809.5634988006,104.558780245523,3364
122229,2,179133,809.5634988006,104.558780245523,3364
122230,1,178521,810.26833205192,103.585544143874,3364
122230,2,178523,810.26833205192,103.585544143874,3364
122230,3,178522,810.26833205192,103.585544143874,3364
122231,1,178523,809.702980316481,103.867430966659,3364
122231,2,179061,809.702980316481,103.867430966659,3364
122231,3,178524,809.702980316481,103.867430966659,3364
122232,1,179078,663.118686753938,90.822693270441,3364
122232,2,178525,663.118686753938,90.822693270441,3364
122232,3,178153,663.118686753938,90.822693270441,3364
122233,1,178527,662.09877543246,96.0697720361128,3364
122233,2,178526,662.09877543246,96.0697720361128,3364
122233,3,179760,662.09877543246,96.0697720361128,3364
122234,1,178531,811.730825226715,80.6862603241941,3364
122234,2,178528,811.730825226715,80.6862603241941,3364
122234,3,177664,811.730825226715,80.6862603241941,3364
122235,1,178225,812.874229428161,82.1513854028272,3364
122235,2,178533,812.874229428161,82.1513854028272,3364
122235,3,178529,812.874229428161,82.1513854028272,3364
122236,1,180002,814.371094941594,80.6392876883779,3364
122236,2,178534,814.371094941594,80.6392876883779,3364
122236,3,178530,814.371094941594,80.6392876883779,3364
122237,1,178533,811.866575079481,80.7717183523282,3364
122237,2,178531,811.866575079481,80.7717183523282,3364
122238,1,178532,815.236689950313,79.9868276984311,3364
122238,2,175203,815.236689950313,79.9868276984311,3364
122238,3,180001,815.236689950313,79.9868276984311,3364
122239,1,178536,809.94066896098,76.7184922357654,3364
122239,2,179419,809.94066896098,76.7184922357654,3364
122240,1,179479,810.708069071188,75.3523305158885,3364
122240,2,178535,810.708069071188,75.3523305158885,3364
122240,3,178537,810.708069071188,75.3523305158885,3364
122241,1,178537,810.576043862369,75.5700181503824,3364
122241,2,177809,810.576043862369,75.5700181503824,3364
122241,3,178538,810.576043862369,75.5700181503824,3364
122242,1,178017,807.361546069348,172.841704089507,3364
122242,2,184236,807.361546069348,172.841704089507,3364
122242,3,178539,807.361546069348,172.841704089507,3364
122243,1,178544,805.187769391741,171.964708797036,3364
122243,2,178540,805.187769391741,171.964708797036,3364
122243,3,175223,805.187769391741,171.964708797036,3364
122244,1,178018,813.20921253291,165.481975626199,3364
122244,2,178543,813.20921253291,165.481975626199,3364
122244,3,178541,813.20921253291,165.481975626199,3364
122245,1,179173,808.865692279,161.171152807821,3364
122245,2,180669,808.865692279,161.171152807821,3364
122245,3,178542,808.865692279,161.171152807821,3364
122245,4,176657,808.865692279,161.171152807821,3364
122246,1,178545,809.223694790571,173.645480783483,3364
122246,2,176925,809.223694790571,173.645480783483,3364
122247,1,176249,670.807471230852,105.5547495324,3364
122247,2,178547,670.807471230852,105.5547495324,3364
122247,3,178546,670.807471230852,105.5547495324,3364
122248,1,178550,783.237348941577,71.8615002857521,3364
122248,2,178548,783.237348941577,71.8615002857521,3364
122248,3,178502,783.237348941577,71.8615002857521,3364
122248,4,179336,783.237348941577,71.8615002857521,3364
122249,1,178549,784.069745964198,72.3719025988811,3364
122249,2,178551,784.069745964198,72.3719025988811,3364
122249,3,179895,784.069745964198,72.3719025988811,3364
