rn,D04,R04,D08,R08,D12,R12,D16,R16
1194,573,801,634,652,490,695,452,607
1195,609,1055,672,930,809,1308,758,1217
1196,1037,1998,1245,1628,1008,1704,947,1594
1197,931,1249,1328,1257,1237,1544,863,1767
1198,199,362,245,304,206,335,216,412
1199,815,708,837,626,793,691,599,835
1200,764,741,732,671,708,695,507,844
1201,468,593,469,565,339,475,255,549
1202,928,914,931,844,860,1008,670,1145
1203,1727,1674,1727,1474,1720,1712,1264,1905
1204,747,1701,900,1572,803,1828,700,1792
1205,453,1641,614,1513,469,1477,407,1446
1206,414,1112,487,1061,446,1322,364,1265
1207,939,2307,1188,2265,990,2440,796,2473
1208,1006,2560,1042,2385,907,2684,868,2532
1209,570,1133,661,1154,331,857,296,843
1210,784,1626,974,1433,804,1538,616,1407
1211,473,894,591,819,237,418,168,371
1212,662,1503,865,1395,887,1568,858,1617
1213,1407,2848,1858,2598,1627,3055,1360,2677
1214,503,935,634,730,471,829,422,734
1215,1173,1980,1208,1662,1876,3302,1664,3154
1216,516,1723,620,1560,572,1998,477,1913
1217,310,896,367,820,534,1326,446,1376
1218,339,775,408,681,446,935,363,850
1219,880,2038,1029,1844,919,2296,813,2264
1220,633,1833,713,1706,654,1916,584,1795
1221,1748,3403,2298,3319,1798,3294,1501,3106
1222,744,2132,976,2172,894,2563,817,2443
1223,735,2182,946,2218,854,2386,782,2312
1224,362,959,388,926,316,1018,275,977
1225,732,1860,900,1848,816,2168,715,2116
1226,1004,3003,1160,2939,1032,3331,996,3176
1227,978,2432,1019,2348,977,2748,984,2645
1228,725,1533,824,1348,277,646,370,685
1229,1323,3241,1671,3109,1383,3091,1673,3291
1230,548,968,666,871,954,2103,960,1740
1231,584,1617,765,1650,1038,2193,628,1282
1232,1195,2307,1354,2102,1240,2253,1275,2056
1233,989,1663,1046,1446,1140,1736,1049,1497
1234,713,1151,782,965,585,840,523,757
1235,1039,2130,1174,1905,1142,2312,1219,1923
1236,869,1751,997,1618,802,1430,867,1260
1237,366,793,470,800,521,1066,508,1054
1238,880,1750,1101,1757,1006,1936,1069,1642
1239,947,1888,1101,1727,1143,2267,1321,2027
1240,459,669,441,569,431,647,323,560
1241,808,1691,892,1560,696,1337,673,1108
1242,693,2094,1051,2140,538,1199,495,951
1243,1007,2572,1209,2539,1248,2805,1537,2292
1244,427,1097,515,965,538,1676,694,1252
1245,1027,2167,1135,1989,808,1602,876,1281
1246,1510,3450,1601,3275,1846,3988,2044,3216
1247,1289,3042,1489,2721,1388,2968,1706,2285
1248,294,700,334,656,285,600,326,528
1249,972,1860,1052,1666,815,1456,861,1169
1250,575,1479,770,1372,829,1884,953,1563
1251,398,1098,514,956,585,1305,679,1097
1252,909,2090,1074,1904,1108,2324,1195,1772
1253,622,1100,712,1034,589,1056,583,903
1254,1138,1772,1236,1621,1451,2392,1388,2003
1255,1199,2128,1356,1864,1466,2472,1502,2027
1256,1413,2515,1568,2247,1031,1696,978,1474
1257,1919,3528,2144,3363,1476,3038,1568,2392
1258,1037,2318,1237,2270,1402,3109,1401,2695
1259,898,1638,913,1495,1266,2314,1319,2107
1260,356,710,376,689,51,110,57,99
1261,841,1853,892,1754,664,1817,683,1656
1262,1052,2154,1155,2080,824,1921,783,1655
