rn,D16,R16
261,434.4190243599561,272.05971635339256
262,1640.1115411414892,1213.4889989800379
264,1149.2077736614442,306.9654912817524
266,2342.5763464895035,432.21562484821993
267,1167.6936895916551,262.8199524017679
268,2627.05405274886,1103.6384719996115
269,262.91080434077725,175.55551508086842
270,664.4659781581362,352.13767060080625
271,98.59155162779146,20.53280878138812
273,364.58334195693715,239.2072223031716
275,688.0868707356279,117.03701005391228
276,1081.4260819173376,190.95512166690952
277,1378.227732130168,405.52297343241537
279,116.0504722285462,12.319685268832872
280,957.1596470531421,422.9758608965953
281,1024.9413387972486,449.6685123123998
282,1857.8345509861954,454.80171450774685
283,2037.5587336410235,523.5866239253971
285,1351.525853564308,384.99016465102727
286,679.8709080999786,265.89987371897615
287,223.88498182144312,108.82388654135704
290,2112.529392691323,1096.4519889261255
291,1122.505895095584,982.4949001894215
293,1184.1256148629536,546.1727135849239
294,1443.9554332153625,1140.59752780611
295,1310.4460403860614,1179.6098644907474
296,3489.7301294920353,2384.8857399582303
298,2175.1761077881492,1903.3913740346788
300,1468.6033211223103,968.1219340424499
302,1706.8662375561396,2131.305551508087
303,180.75117798428434,335.71142357569573
304,1560.0059054439087,1170.3701005391229
305,217.72300984470616,305.938850842683
306,1005.4284275375817,1126.2245616591383
307,2034.4777476526551,2028.6415076011463
309,1330.9859469751848,1432.1634125018213
310,582.3063518016434,491.76077031424546
311,1796.2148312188256,2052.2542376997426
312,814.4072962587358,872.6443732089951
313,1302.2300777504122,1546.1205012385253
314,998.2394602313885,1164.2102579047064
315,1239.5833626535864,1335.6592112292972
316,1571.3028540679263,2018.3751032104522
317,495.01174879786964,718.6483073485842
318,1249.853315948148,975.3084171159356
321,937.646735793475,857.244766622954
322,626.4671509682582,322.3650978677935
323,789.7594083517879,466.0947593375103
325,1008.5094135259501,309.0187721598912
327,919.1608198632641,747.3942396425275
329,790.786403681244,418.86929914031765
330,970.5105863360722,620.0908251979213
331,613.1162116853282,189.9284812278401
332,1034.1842967623543,498.94725338773134
