rn,D12,R12,D16,R16
1803,3388,2200,3196,2534
1804,1032,3828,758,3244
1805,1284,2868,1038,3536
1806,1396,2564,966,2366
1807,229,576,208,757
1808,131,387,115,605
1809,822,4730,622,4872
1810,312,1280,269,1927
1811,479,1814,315,1859
1812,1830,6064,1036,5644
1813,348,1032,237,922
1814,1642,2910,1610,3750
1815,9104,7432,9856,10108
1816,1284,2926,942,3322
1817,1618,3568,1296,4904
1818,638,2718,472,3172
1819,3048,7860,2784,10148
1820,1676,4152,1280,4784
1821,430,1175,306,1211
1822,1418,4122,932,4056
1823,267,953,176,1018
1824,1242,3948,978,3974
1825,5004,7520,3992,7576
1826,254,682,195,854
1827,622,2340,580,2782
1828,403,662,308,875
1829,842,2266,660,2696
1830,420,740,392,753
1831,1446,2176,1286,2292
1832,563,739,465,846
1833,507,916,401,1112
1835,376,949,287,1131
1836,1494,3818,1152,4846
1837,196,576,170,706
1838,275,875,230,1088
1839,1512,1868,1322,1950
1840,301,830,249,923
1842,3213,6039,2508,7596
1843,256,543,224,624
1844,307,1189,196,1477
1845,748,1756,552,2248
1846,256,680,196,734
1847,1160,2802,1090,3192
1848,904,640,780,682
1849,2408,2998,1942,3848
1850,304,517,282,572
1851,206,320,163,387
1853,656,988,559,1196
1854,4917,4665,4548,4923
1855,2476,2020,2640,1948
1856,1678,2846,1692,2948
1857,3723,4743,3936,5016
1858,1218,2938,1028,3366
1859,1208,3216,982,3760
1860,4155,4210,3560,4445
1861,260,1414,235,1628
1862,1118,5350,1060,6006
1863,610,1582,609,1668
1864,246,1402,205,1558
1865,848,1859,1038,2327
1866,915,1240,871,1353
1867,750,1249,713,1290
1868,3230,5580,3180,6056
1869,394,1021,420,1038
1870,269,824,330,816
1871,3218,5406,3834,6146
1872,333,601,274,642
1874,1002,1850,1122,1846
1875,717,1892,929,1784
1876,1780,3526,1748,3684
1877,1353,1426,1447,1693
1878,2838,5248,2768,5818
1879,456,771,448,825
1880,2450,500,1896,546
1881,2966,1224,2690,1240
1882,443,917,432,1083
1883,834,123,690,145
1884,448,305,406,309
1885,3698,4292,3162,4672
1886,396,915,323,1011
1887,4677,6378,3858,7122
1888,359,868,279,1046
1889,1478,4732,1324,5348
1890,947,1965,1144,2529
1891,788,1315,806,1540
1893,2646,7218,3806,6344
1894,3486,7166,4786,8060
1896,2132,6274,2904,6356
1897,694,1898,952,2055
1898,560,1412,841,1957
1899,943,1273,1128,1560
1900,542,1158,524,1081
1901,287,1443,306,1411
1902,1221,750,1147,753
1903,1573,876,1440,901
1904,785,1008,768,1037
1905,411,150,366,120
1906,5792,2998,5378,2550
1907,700,292,648,289
1908,5036,662,4498,588
1909,380,141,338,150
1910,4486,2622,4066,2742
1911,1278,1265,1135,1375
1913,8658,4167,11664,3498
1914,6404,2288,7282,1870
1915,1230,364,1474,352
1916,1693,23,1683,46
1917,1312,121,1920,166
1918,5272,232,7474,192
1919,2766,588,4050,524
1922,1764,948,3266,1438
1924,4806,2766,6082,2130
1925,1107,1245,1349,1173
1926,1126,666,1115,560
1927,7173,7536,9786,6276
1928,723,1475,987,1279
1929,4290,3064,5608,2894
1930,2515,492,3180,468
1931,2540,138,3132,186
1932,1425,47,1577,66
1933,1477,69,1843,96
1934,2071,69,2734,103
1935,2028,1141,2423,1097
1936,2556,1188,3148,1102
1937,2134,1332,2189,1014
1938,5930,2458,6832,2060
1939,6652,2850,7692,2506
1941,2321,572,2449,507
1943,1844,1408,2125,1448
1944,1392,909,1727,862
1945,1444,1008,1503,866
1946,1310,950,1388,730
1947,1230,687,1327,583
1948,2630,2680,2806,2124
1949,3452,2940,4230,2928
1950,761,967,1192,1074
1951,1573,1063,1506,970
1952,2392,290,2064,230
1953,1457,770,1227,495
1954,1444,557,1532,560
1955,4870,2462,5698,2364
1956,9420,8145,10065,7335
1957,3522,3052,3730,3046
1958,2458,540,2651,558
1959,10314,1724,13058,1602
1960,781,989,981,1023
1961,1167,922,1372,949
1963,1268,2510,1381,2695
1964,1183,1969,1122,1863
1965,4856,6862,5038,6642
1967,1474,1494,1881,1489
1968,822,1011,1410,947
1969,1764,1976,1862,1780
1970,1430,2108,1628,2119
1972,1362,1638,1663,1701
1974,950,1191,1070,1482
1975,1589,1217,1772,1286
1976,4744,5010,5974,6114
1977,1197,1950,1189,2388
1978,1277,2076,1554,2393
1979,764,1165,872,1194
1980,1024,1518,1013,1411
1981,1753,2612,2010,2404
1982,767,1267,974,1212
1983,4756,4514,5986,5542
1984,3752,3756,6232,5970
1986,638,859,968,1120
1988,1318,1423,1439,1351
1989,1416,1217,1782,1067
1990,1392,1282,1744,1141
1992,1786,1546,2382,1533
1993,4674,4918,4384,4674
1994,975,1245,1606,1648
1995,1359,1557,1516,1369
1997,1463,1527,1519,1367
1998,1515,1201,1917,1275
1999,953,1056,1128,1141
2000,1052,1030,1189,1097
2001,1183,872,1317,1090
2002,1329,1405,1599,1346
2003,794,724,936,594
2004,1430,1123,1631,1067
2005,1433,1121,1574,1238
2007,1044,1032,1279,1072
2008,1211,971,1583,982
2009,1164,813,1558,830
2010,918,1238,1327,1392
2011,4114,3056,5102,2650
2012,1137,791,1727,721
2013,1109,596,1275,682
2014,1312,948,1452,929
2015,857,720,1003,703
2016,3940,2466,4652,2742
2017,3544,1590,3942,1496
2018,1293,917,1737,1051
2019,1000,1097,1243,1109
2020,1044,941,1259,1000
2021,1216,843,1686,938
2022,1277,917,1615,979
2023,5892,4364,3336,1678
2024,3080,1874,2843,1295
2025,3442,3302,3743,2621
2028,1658,1180,1974,1192
2031,1077,596,1394,574
2033,5638,3572,5148,3014
2034,2554,1633,2369,1157
2035,1644,1562,1689,1136
2036,1030,893,1051,855
2037,1405,616,1243,451
2038,6136,4982,8364,4992
2039,745,653,647,611
2040,1197,585,1080,484
2042,2145,1807,1804,1358
2043,1827,1974,1606,1461
2044,824,1019,958,883
2045,1112,1353,1378,1288
2046,2640,2858,2147,1606
2047,833,533,971,627
2048,2093,1505,2244,1224
2049,1334,980,1240,749
2050,1068,815,1025,627
2051,545,655,654,608
2052,1891,2835,1984,2409
2053,1098,1837,900,1362
2055,1277,1538,1436,1360
2056,2986,5222,3526,4982
2057,3774,7852,4494,8086
2058,3852,2372,4148,2042
2059,1844,904,1830,848
2060,797,713,910,661
2061,871,681,948,650
2063,972,1117,1057,1021
2064,907,1160,964,1099
2065,8044,8834,6814,5648
2066,6964,2344,8360,1916
2067,1060,538,1484,585
2068,4652,4424,4364,3554
2069,1271,557,1285,463
2071,8594,2572,10044,2442
2072,2036,1340,2603,1109
2073,1474,366,2067,325
2074,5050,4632,5160,3922
2075,734,956,872,890
2076,5830,4774,6082,4122
