rn,state,cid,tract,pop,white,black,hispanic
102,24,3,740701,5270.0,3737.0,1115.0,231.0
103,24,3,740702,10187.0,7521.0,1345.0,498.0
104,24,3,740800,4460.0,3701.0,271.0,300.0
105,24,3,740900,7578.0,5318.0,1269.0,751.0
106,24,3,741000,2223.0,1953.0,101.0,92.0
107,24,3,750101,4216.0,2875.0,749.0,257.0
108,24,3,750102,2630.0,1862.0,391.0,174.0
109,24,3,750201,2855.0,1903.0,743.0,123.0
110,24,3,750202,3035.0,2571.0,289.0,250.0
111,24,3,750203,1364.0,1085.0,112.0,96.0
112,24,3,750300,2826.0,2423.0,63.0,35.0
113,24,3,750400,4018.0,3569.0,58.0,74.0
114,24,3,750801,6218.0,5113.0,401.0,231.0
115,24,3,750803,8404.0,3779.0,2326.0,2274.0
116,24,3,750804,3990.0,3210.0,272.0,226.0
117,24,3,750900,2770.0,2181.0,208.0,379.0
118,24,3,751000,3781.0,3208.0,325.0,286.0
119,24,3,751102,3695.0,2514.0,990.0,224.0
120,24,3,751103,5707.0,4883.0,570.0,156.0
121,24,3,751200,4275.0,3818.0,303.0,81.0
122,24,3,751400,3957.0,2732.0,537.0,84.0
123,24,3,751500,7024.0,3662.0,2466.0,1581.0
124,24,3,751600,5069.0,4667.0,134.0,25.0
125,24,3,751700,2786.0,2429.0,270.0,85.0
126,24,3,980000,22.0,7.0,6.0,9.0
127,24,5,400100,4465.0,3229.0,708.0,4.0
128,24,5,400200,2539.0,2107.0,323.0,138.0
129,24,5,400400,5653.0,4812.0,280.0,147.0
130,24,5,400500,2568.0,2462.0,62.0,72.0
131,24,5,400600,2821.0,1944.0,618.0,17.0
132,24,5,400701,3023.0,1622.0,1017.0,181.0
133,24,5,400702,1874.0,1107.0,588.0,101.0
134,24,5,400800,2658.0,1596.0,697.0,241.0
135,24,5,400900,2160.0,1618.0,382.0,592.0
136,24,5,401000,2752.0,2209.0,457.0,42.0
137,24,5,401101,6791.0,1154.0,4964.0,149.0
138,24,5,401102,1114.0,135.0,834.0,23.0
139,24,5,401200,3122.0,649.0,2242.0,157.0
140,24,5,401301,3774.0,799.0,2787.0,103.0
141,24,5,401302,2605.0,413.0,2045.0,53.0
142,24,5,401400,1690.0,1588.0,0.0,41.0
143,24,5,401503,6771.0,5742.0,153.0,410.0
144,24,5,401504,6574.0,2867.0,2299.0,229.0
145,24,5,401505,4585.0,2117.0,1926.0,481.0
146,24,5,401506,5150.0,660.0,3504.0,211.0
147,24,5,401507,5842.0,1150.0,3039.0,681.0
148,24,5,402201,3745.0,1842.0,1756.0,75.0
149,24,5,402202,1562.0,902.0,433.0,53.0
150,24,5,402302,5573.0,534.0,4605.0,354.0
