rn,D08,R08,D16,R16
0,326,916,151,1100
1,268,640,234,1013
2,113,211,193,573
3,419,963,231,619
4,386,550,192,491
5,362,493,310,1156
6,593,737,294,714
7,198,208,191,423
8,986,1094,105,93
9,799,761,327,438
10,302,367,167,308
11,903,1619,136,585
12,378,711,645,1888
13,367,810,0,0
14,225,599,111,673
15,295,559,134,732
16,256,307,597,826
17,248,519,471,1276
18,1036,1343,0,0
19,197,604,94,769
20,464,1236,367,1359
21,314,1014,150,1123
22,389,932,282,1560
23,1698,2508,216,369
24,1339,1847,1197,2158
25,1294,1985,337,669
26,1326,1771,1031,1801
27,942,1191,1377,2707
28,1629,2203,678,1095
29,552,547,778,846
30,1359,1332,1021,884
31,1961,2060,1869,1637
32,917,958,989,911
33,1442,1279,460,509
34,1643,2553,402,611
35,1072,1429,925,1243
36,1500,720,944,338
37,1171,1066,659,595
38,1911,1554,1674,1278
39,1147,1123,926,932
40,1364,1587,264,348
42,2180,1321,749,407
43,779,567,489,334
44,1280,381,819,292
45,2026,994,822,324
46,2174,543,1301,646
47,560,527,1444,656
48,1439,752,0,0
49,1322,1270,693,1088
50,788,950,460,796
51,746,1013,405,866
52,1326,1618,0,0
53,660,980,1396,2286
54,1627,1149,539,307
55,703,391,405,335
56,395,525,680,923
57,403,598,443,809
58,1011,964,605,817
59,1037,1225,384,373
60,2157,1955,2170,1848
61,1004,455,0,0
62,1262,437,848,252
63,1346,2125,465,722
64,851,1495,252,509
65,1245,1711,1689,2096
66,1555,1878,1731,2060
67,474,493,0,0
68,544,675,0,0
69,802,863,660,834
70,755,775,0,0
71,996,1590,2313,2633
72,1542,1751,0,0
73,1643,1988,334,527
74,1249,1324,1406,1502
75,1374,1779,936,1288
76,628,764,328,453
77,1320,1899,467,577
78,407,1023,223,915
79,1632,2864,718,1490
80,1201,1860,471,1367
81,882,2268,968,3423
82,786,1982,452,1714
83,1088,1837,0,0
84,1219,2205,352,1058
85,904,1534,900,2145
86,1597,2693,961,2488
87,612,992,735,1564
88,1295,1026,394,375
89,1146,701,1443,881
90,3046,1279,1149,374
91,1162,149,0,0
92,2034,1858,1350,1328
93,1141,1790,432,868
94,624,679,853,1026
95,636,627,995,854
96,2517,681,1276,254
97,42,55,0,0
98,2243,758,2003,322
100,1144,418,1690,405
101,2097,847,0,0
102,1935,1718,416,316
103,903,940,812,553
104,1000,1510,705,1128
105,1594,1597,1609,1790
106,396,795,0,0
107,436,562,600,780
108,315,312,218,238
109,693,405,0,0
110,439,640,1337,1396
111,361,380,0,0
112,332,621,208,565
113,1058,1957,528,1083
114,475,873,757,1949
115,1580,1045,720,280
116,521,793,252,532
117,342,501,513,616
118,490,842,330,703
119,1026,658,0,0
120,1164,1638,644,1439
121,1083,1075,1511,1521
122,1292,1378,620,573
123,908,435,1342,561
124,451,554,498,663
125,464,646,302,509
126,424,793,0,0
127,678,780,1152,1008
128,1072,882,0,0
129,828,1030,406,486
130,909,900,0,0
131,1517,986,0,0
132,814,370,1378,732
134,1449,497,592,297
136,1174,859,1330,942
137,1880,503,1072,251
138,2402,200,1088,94
140,0,0,1272,99
141,2245,279,0,0
142,1083,1221,0,0
143,797,887,1298,1260
144,1647,533,1828,565
145,1456,544,0,0
146,2272,170,1269,131
147,1045,167,562,72
148,327,371,216,335
149,0,0,253,347
150,2439,135,2299,236
151,3660,144,735,41
152,2154,62,844,43
154,1271,54,0,0
155,1695,58,2574,197
156,1249,31,1342,68
157,2216,50,0,0
158,1696,153,766,83
160,2588,275,0,0
161,2496,222,1022,110
162,1337,473,402,87
163,1793,111,0,0
164,2700,215,1239,113
165,2192,280,0,0
166,2122,213,1890,136
167,2604,128,321,90
168,2350,276,879,74
169,1579,160,992,93
170,1238,368,1458,226
171,2306,170,0,0
172,1244,345,0,0
173,1438,509,0,0
174,0,0,799,149
175,2005,2056,1968,1554
176,1218,825,1872,988
177,1409,686,0,0
178,1379,737,0,0
179,1533,849,1055,600
180,864,690,0,0
181,1295,915,1214,721
183,1272,580,0,0
184,1710,683,1664,427
185,1560,548,889,338
186,1673,277,656,200
187,1725,1150,0,0
188,0,0,1110,448
189,2219,1584,3532,2299
190,1015,717,637,384
191,1074,656,0,0
192,448,739,306,617
193,1367,1016,0,0
194,1376,1120,833,625
195,788,1547,496,1136
196,934,1881,590,1715
197,668,1128,478,1048
198,887,1864,637,1760
199,1203,1609,1339,1671
200,876,1512,398,493
201,1382,1824,667,947
202,352,522,145,167
203,299,496,533,820
204,539,467,0,0
205,1293,550,865,1033
206,0,0,347,296
207,775,621,640,779
208,767,1053,646,408
209,590,302,1010,321
210,1481,2281,608,628
211,513,691,399,446
212,781,990,672,767
213,1144,1629,795,890
214,1115,1454,623,717
215,781,896,664,694
216,1158,1369,0,0
217,851,1417,468,844
218,1259,2593,973,1864
219,714,2124,362,1447
220,35,88,0,0
221,610,1660,0,0
222,601,1191,895,2097
223,482,783,0,0
224,910,1386,1404,1947
225,956,1204,0,0
226,1066,1199,0,0
227,673,1218,1019,1571
228,1185,2242,725,1317
229,660,1118,0,0
230,458,912,749,1467
231,1923,2187,1100,1491
232,191,189,0,0
233,858,1265,0,0
234,1975,2670,733,1131
235,776,1199,0,0
236,860,1138,0,0
237,0,0,451,1123
239,605,965,341,896
240,639,650,912,1676
242,524,722,0,0
243,527,793,690,1207
244,720,1059,397,895
246,492,727,422,920
247,570,679,392,501
249,828,856,493,685
250,229,284,0,0
251,417,696,251,650
252,1135,16,418,21
253,662,317,488,331
254,0,0,246,653
255,241,313,189,245
256,995,1001,731,835
257,631,914,345,785
258,693,1061,347,641
259,708,1054,0,0
260,556,918,583,1053
261,818,517,450,403
262,486,795,761,1252
263,690,980,0,0
264,0,0,412,278
265,796,767,655,620
266,1144,1341,1338,1632
267,109,119,1239,1045
268,1058,994,0,0
269,751,499,0,0
270,1025,1054,0,0
271,1385,623,1010,441
272,1659,612,1094,314
273,710,828,987,881
274,708,699,0,0
275,495,932,369,841
276,507,1030,314,966
277,341,730,248,672
278,449,721,317,655
279,572,676,330,591
281,1732,320,0,0
282,934,1047,130,156
283,0,0,732,1735
284,680,1447,0,0
285,1432,468,2005,568
286,501,879,241,676
288,1316,1234,665,417
289,1293,674,1095,933
290,727,742,516,633
291,272,505,151,449
292,0,0,642,1656
293,354,857,0,0
294,510,1126,251,1068
295,898,802,571,693
296,1059,1829,586,1623
297,826,1465,0,0
298,0,0,331,1238
299,608,1270,315,1303
300,456,368,266,364
302,856,1308,429,1227
