rn,D12,R12,D16,R16
748,4608,1672,5432,1460
749,1442,126,1530,142
750,1222,334,1342,246
751,1989,1374,2541,1092
752,690,700,884,522
753,884,944,1180,724
754,2348,4364,3564,3460
755,962,846,1232,590
756,219,242,270,199
757,212,212,338,145
758,1534,598,2488,434
759,1248,1040,1572,730
760,317,12,355,17
761,1370,414,1494,310
762,2052,801,2352,699
763,1162,530,1312,488
764,3720,801,3984,645
765,2451,1122,2880,834
766,1014,266,1140,240
767,3297,279,3579,285
768,461,1,482,1
769,3750,210,4236,228
770,1818,3474,1446,2244
771,480,90,854,56
772,363,331,606,326
773,2856,696,2004,603
774,2646,219,3006,255
775,1068,6,1590,20
776,5520,144,5740,184
777,2433,633,3868,808
779,621,38,673,43
781,559,2,679,2
782,336,31,352,33
783,523,20,0,0
784,193,126,180,85
786,0,0,0,0
787,1884,3144,1542,2970
788,532,3324,606,3252
789,514,177,444,141
790,1602,504,1376,422
791,892,1272,924,1242
792,2508,4,2166,28
793,2210,6,1956,8
794,2284,126,2122,172
795,3294,10,3022,32
796,1870,158,1554,222
797,2992,30,2740,60
798,1194,1714,1266,1684
799,41,486,54,517
800,724,9516,591,9387
801,939,7644,801,7425
802,314,4110,314,3920
803,1317,11241,1200,11151
804,84,565,83,528
805,634,2490,610,2146
806,6138,5154,5346,4506
807,958,2914,1050,2906
808,316,1788,234,2064
809,564,2366,496,2532
810,3840,5304,3588,5382
811,4470,6042,4329,5730
812,230,2886,98,1413
813,1551,6318,1482,6360
814,1234,2440,1222,2944
815,879,10137,1215,13790
816,254,4336,200,5046
817,398,1904,348,2322
818,546,4940,466,5442
819,2390,354,2118,404
820,119,375,121,425
821,3208,40,3082,34
822,1166,620,964,640
823,2764,50,2536,48
824,5397,675,4839,771
825,302,441,260,443
826,560,12,514,15
828,2950,15195,2061,10440
829,3405,6865,1911,4305
830,451,119,324,196
831,1692,258,2322,1302
832,387,644,270,339
834,568,734,608,1636
835,0,0,459,30
836,2884,1804,3004,1864
837,2292,1896,1992,1876
838,969,3363,2180,8445
839,3016,6960,2412,6996
840,17424,7336,23112,9948
841,3464,6332,2196,5128
842,1075,19290,875,20025
843,760,4994,784,5322
844,549,5265,450,4995
845,2404,2552,2360,2588
846,1492,5184,1292,5940
847,1053,6060,1056,6867
848,3219,612,2937,615
849,1107,4236,861,3825
850,4858,20153,3997,15694
851,1314,3408,1017,2466
852,94,91,75,93
853,3141,15,2613,42
