1,1,55221
1,3,195121
1,5,26932
1,7,22604
1,9,57710
1,11,10678
1,13,20354
1,15,116648
1,17,34079
1,19,26008
1,21,43819
1,23,13395
1,25,25070
1,27,13537
1,29,15002
1,31,50884
1,33,54444
1,35,12865
1,37,11027
1,39,37886
1,41,13938
1,43,80965
1,45,49866
1,47,42154
1,49,71068
1,51,80763
1,53,37935
1,55,103766
1,57,16896
1,59,31634
1,61,26815
1,63,8697
1,65,15256
1,67,17252
1,69,103534
1,71,52860
1,73,659026
1,75,14133
1,77,92737
1,79,33586
1,81,150982
1,83,88805
1,85,10742
1,87,20018
1,89,346438
1,91,20306
1,93,30387
1,95,94318
1,97,414251
1,99,22217
1,101,228138
1,103,119786
1,105,10038
1,107,19856
1,109,33155
1,111,22648
1,113,58302
1,115,85864
1,117,203530
1,119,13341
1,121,81437
1,123,41153
1,125,200458
1,127,65923
1,129,16997
1,131,11235
1,133,24130
2,13,3304
2,16,5684
2,20,299107
2,50,17776
2,60,970
2,68,2060
2,70,4979
2,90,99705
2,100,2560
2,105,2128
2,110,32531
2,122,57221
2,130,13699
2,150,13973
2,158,7914
2,164,1474
2,170,96178
2,180,9854
2,185,9667
2,188,7732
2,195,3221
2,198,6376
2,220,8943
2,230,999
2,240,7029
2,261,9617
2,275,2387
2,282,643
2,290,5644
4,1,72124
4,3,129647
4,5,136701
4,7,53165
4,9,37407
4,11,9023
4,12,20335
4,13,4018143
4,15,203362
4,17,107656
4,19,998537
4,21,389772
4,23,47073
4,25,215996
4,27,202987
5,1,18731
5,3,21229
5,5,41040
5,7,238198
5,9,37227
5,11,11206
5,13,5245
5,15,27635
5,17,11353
5,19,22751
5,21,15400
5,23,25711
5,25,8510
5,27,24327
5,29,21110
5,31,101409
5,33,61748
5,35,49765
5,37,17467
5,39,7868
5,41,12379
5,43,18740
5,45,119343
5,47,17866
5,49,12224
5,51,96954
5,53,18054
5,55,43382
5,57,22336
5,59,33316
5,61,13555
5,63,36952
5,65,13480
5,67,17597
5,69,73548
5,71,25930
5,73,7270
5,75,17029
5,77,9966
5,79,14062
5,81,12720
5,83,22001
5,85,70691
5,87,15702
5,89,16458
5,91,43652
5,93,44864
5,95,7713
5,97,9197
5,99,8793
5,101,8052
5,103,25044
5,105,10300
5,107,20391
5,109,11087
5,111,24210
5,113,20364
5,115,62830
5,117,8402
5,119,390463
5,121,17695
5,123,27345
5,125,113833
5,127,10870
5,129,7965
5,131,127273
5,133,17268
5,135,17055
5,137,12512
5,139,40633
5,141,17002
5,143,216432
5,145,78660
5,147,6983
5,149,21835
6,1,1584983
6,3,1131
6,5,36995
6,7,222564
6,9,44767
6,11,21396
6,13,1096068
6,15,27788
6,17,182093
6,19,956749
6,21,28029
6,23,135034
6,25,178206
6,27,18373
6,29,865736
6,31,150998
6,33,64158
6,35,32645
6,37,10038388
6,39,153187
6,41,258349
6,43,17789
6,45,87544
6,47,263885
6,49,9184
6,51,14146
6,53,428441
6,55,140295
6,57,98570
6,59,3116069
6,61,366280
6,63,18966
6,65,2298032
6,67,1465832
6,69,57557
6,71,2094769
6,73,3223096
6,75,840763
6,77,708554
6,79,276517
6,81,748731
6,83,435850
6,85,1868149
6,87,269278
6,89,178942
6,91,3021
6,93,43895
6,95,425753
6,97,495078
6,99,527367
6,101,95247
6,103,63152
6,105,13373
6,107,454033
6,109,54079
6,111,840833
6,113,207320
6,115,73437
8,1,471206
8,3,16269
8,5,608310
8,7,12174
8,9,3701
8,11,5895
8,13,310032
8,14,60699
8,15,18309
8,17,2002
8,19,9136
8,21,8249
8,23,3581
8,25,5551
8,27,4303
8,29,30214
8,31,649654
8,33,1862
8,35,306974
8,37,52576
8,39,23855
8,41,655024
8,43,46809
8,45,57076
8,47,5605
8,49,14411
8,51,15651
8,53,874
8,55,6502
8,57,1335
8,59,552344
8,61,1463
8,63,7980
8,65,7362
8,67,53182
8,69,318227
8,71,14503
8,73,5478
8,75,21928
8,77,147834
8,79,733
8,81,13117
8,83,25700
8,85,40815
8,87,28359
